Players,Custom,fideID
"Niemann, Hans Moke",https://players.chessbase.com/en/player/Niemann_%20Hans%20Moke,2093596
"Oberoi, Shelev",https://players.chessbase.com/en/player/Oberoi_%20Shelev,30908590
"Popilski, Gil",https://players.chessbase.com/en/player/Popilski_%20Gil,2809060
"Gorovets, Andrey",https://players.chessbase.com/en/player/Gorovets_%20Andrey,13504037
"Balakrishnan, Praveen",https://players.chessbase.com/en/player/Balakrishnan_%20Praveen,2064871
"Miyasaka, Marcus M",https://players.chessbase.com/en/player/Miyasaka_%20Marcus%20M,2073102
"Subervi, Jonathan",https://players.chessbase.com/en/player/Subervi_%20Jonathan,6400345
"Wang, Eigen",https://players.chessbase.com/en/player/Wang_%20Eigen,2008777
"Slade, Theodore",https://players.chessbase.com/en/player/Slade_%20Theodore,426547
"Xu, Arthur Zihan",https://players.chessbase.com/en/player/Xu_%20Arthur%20Zihan,30913144
"Boris, Peter Theodore",https://players.chessbase.com/en/player/Boris_%20Peter%20Theodore,30908094
"Erenburg, Sergey",https://players.chessbase.com/en/player/Erenburg_%20Sergey,2805642
"Lenderman, Aleksandr",https://players.chessbase.com/en/player/Lenderman_%20Aleksandr,2021285
"Perske, Thore",https://players.chessbase.com/en/player/Perske_%20Thore,12902195
"Dukic, Zachary",https://players.chessbase.com/en/player/Dukic_%20Zachary,2617188
"Graif, William",https://players.chessbase.com/en/player/Graif_%20William,2609835
"Bartochowski, Nicholas J",https://players.chessbase.com/en/player/Bartochowski_%20Nicholas%20J,2093049
"Vorontsov, Pavlo",https://players.chessbase.com/en/player/Vorontsov_%20Pavlo,14116367
"Ewing, Gabriel",https://players.chessbase.com/en/player/Ewing_%20Gabriel,2061880
"Puranik, Abhimanyu Sameer",https://players.chessbase.com/en/player/Puranik_%20Abhimanyu%20Sameer,5061245
"Chen, Forest",https://players.chessbase.com/en/player/Chen_%20Forest,30908205
"Lux, Hugo de Melo",https://players.chessbase.com/en/player/Lux_%20Hugo%20de%20Melo,2138298
"Raja, Harshit",https://players.chessbase.com/en/player/Raja_%20Harshit,5089000
"Titus, Andrew L",https://players.chessbase.com/en/player/Titus_%20Andrew%20L,2059770
"Huschenbeth, Niclas",https://players.chessbase.com/en/player/Huschenbeth_%20Niclas,24604747
"Ortiz Suarez, Isan Reynaldo",https://players.chessbase.com/en/player/Ortiz%20Suarez_%20Isan%20Reynaldo,3507165
"Shabalov, Alexander",https://players.chessbase.com/en/player/Shabalov_%20Alexander,2008572
"Stukopin, Andrey",https://players.chessbase.com/en/player/Stukopin_%20Andrey,24107131
"Sevian, Samuel",https://players.chessbase.com/en/player/Sevian_%20Samuel,2040506
"Wang, Annie",https://players.chessbase.com/en/player/Wang_%20Annie,2053900
"Adamson, Robby",https://players.chessbase.com/en/player/Adamson_%20Robby,2009730
"Jacobson, Aaron",https://players.chessbase.com/en/player/Jacobson_%20Aaron,2089912
"Wang, Wesley",https://players.chessbase.com/en/player/Wang_%20Wesley,2072823
"Martin Del Campo C, Roberto",https://players.chessbase.com/en/player/Martin%20Del%20Campo%20C_%20Roberto,5100046
"Diulger, Alexey",https://players.chessbase.com/en/player/Diulger_%20Alexey,13900730
"Arjun, Vishnuvardhan",https://players.chessbase.com/en/player/Arjun_%20Vishnuvardhan,5013291
"Gauri, Shankar",https://players.chessbase.com/en/player/Gauri_%20Shankar,5041350
"Yu, Jennifer R",https://players.chessbase.com/en/player/Yu_%20Jennifer%20R,2078341
"Shtembuliak, Evgeny",https://players.chessbase.com/en/player/Shtembuliak_%20Evgeny,14113325
"Kevlishvili, Robby",https://players.chessbase.com/en/player/Kevlishvili_%20Robby,1040634
"Gurevich, Dmitry",https://players.chessbase.com/en/player/Gurevich_%20Dmitry,2000407
